t_in,v_in,t_out,v_out
1.535,0.008,1.535,0
1.536,0.008,1.536,0
1.537,0.008,1.537,0.08
1.538,0.008,1.538,0
1.539,0.008,1.539,0
1.54,0.008,1.54,0
1.541,0.008,1.541,0
1.542,0.008,1.542,0
1.543,0.008,1.543,0
1.544,0.008,1.544,0
1.545,0.008,1.545,0
1.546,0.008,1.546,0
1.547,0.008,1.547,0
1.548,0.008,1.548,0
1.549,0.008,1.549,0
1.55,0.008,1.55,0
1.551,0.008,1.551,0
1.552,0.008,1.552,0
1.553,0.008,1.553,0
1.554,0.008,1.554,0.08
1.555,0.008,1.555,0.08
1.556,0.008,1.556,0
1.557,0.008,1.557,0.08
1.558,0.008,1.558,0
1.559,0.008,1.559,0
1.56,0.008,1.56,0
1.561,0.008,1.561,0
1.562,0.008,1.562,0
1.563,0.008,1.563,0
1.564,0.008,1.564,0
1.565,0.008,1.565,0
1.566,0.008,1.566,0
1.567,0.008,1.567,0
1.568,0.008,1.568,0
1.569,0.008,1.569,0
1.57,0.008,1.57,0
1.571,0.008,1.571,0
1.572,0.008,1.572,0
1.573,0.008,1.573,0
1.574,0.008,1.574,0
1.575,0.008,1.575,0
1.576,0.008,1.576,0
1.577,0.008,1.577,0
1.578,0.008,1.578,0
1.579,0.008,1.579,0
1.58,0.008,1.58,0
1.581,0.008,1.581,0
1.582,0.008,1.582,0
1.583,0.008,1.583,0
1.584,0.008,1.584,0
1.585,0.008,1.585,0
1.586,0.008,1.586,0
1.587,0.008,1.587,0
1.588,0.008,1.588,0
1.589,0.008,1.589,0
1.59,0.008,1.59,0
1.591,0.008,1.591,0
1.592,0.008,1.592,0
1.593,0.008,1.593,0
1.594,0.008,1.594,0
1.595,0.008,1.595,0.08
1.596,0.008,1.596,0
1.597,0.008,1.597,0.08
1.598,0.008,1.598,0
1.599,0.008,1.599,0
1.6,0.008,1.6,0
1.601,0.008,1.601,0
1.602,0.008,1.602,0
1.603,0.008,1.603,0
1.604,0,1.604,0
1.605,0.008,1.605,0
1.606,0.008,1.606,0
1.607,0.008,1.607,0
1.608,0.008,1.608,0
1.609,0.008,1.609,0
1.61,0.008,1.61,0
1.611,0.008,1.611,0
1.612,0.008,1.612,0
1.613,0.008,1.613,0
1.614,0.008,1.614,0
1.615,0.008,1.615,0
1.616,0.008,1.616,0
1.617,0.008,1.617,0.08
1.618,0.008,1.618,0.08
1.619,0.008,1.619,0
1.62,0.008,1.62,0
1.621,0.008,1.621,0
1.622,0.008,1.622,0
1.623,0.008,1.623,0
1.624,0.008,1.624,0
1.625,0.008,1.625,0.08
1.626,0.008,1.626,0
1.627,0.008,1.627,0
1.628,0.008,1.628,0
1.629,0.008,1.629,0
1.63,0.008,1.63,0
1.631,0.008,1.631,0
1.632,0.008,1.632,0
1.633,0.008,1.633,0
1.634,0.008,1.634,0
1.635,0.008,1.635,0
1.636,0.008,1.636,0
1.637,0.008,1.637,0
1.638,0.008,1.638,0
1.639,0.008,1.639,0
1.64,0.008,1.64,0
1.641,0.008,1.641,0
1.642,0.008,1.642,0
1.643,0.008,1.643,0
1.644,0.008,1.644,0
1.645,0.008,1.645,0
1.646,0.008,1.646,0
1.647,0,1.647,0
1.648,0.008,1.648,0
1.649,0.008,1.649,0
1.65,0.008,1.65,0
1.651,0.008,1.651,0
1.652,0.008,1.652,0
1.653,0.008,1.653,0
1.654,0.008,1.654,0
1.655,0.008,1.655,0
1.656,0.008,1.656,0
1.657,0.008,1.657,0
1.658,0.008,1.658,0
1.659,0.008,1.659,0.08
1.66,0.008,1.66,0
1.661,0.008,1.661,0.08
1.662,0.008,1.662,0.08
1.663,0.008,1.663,0
1.664,0,1.664,0
1.665,0.008,1.665,0
1.666,0.008,1.666,0
1.667,0.008,1.667,0
1.668,0.008,1.668,0
1.669,0.008,1.669,0
1.67,0.008,1.67,0
1.671,0.008,1.671,0
1.672,0.008,1.672,0
1.673,0.008,1.673,0.08
1.674,0.008,1.674,0
1.675,0.008,1.675,0.08
1.676,0,1.676,0
1.677,0,1.677,0
1.678,0.008,1.678,0
1.679,0.008,1.679,0
1.68,0.008,1.68,0
1.681,0.008,1.681,0
1.682,0.008,1.682,0
1.683,0.008,1.683,0
1.684,0.008,1.684,0
1.685,0.008,1.685,0
1.686,0.008,1.686,0
1.687,0.008,1.687,0
1.688,0,1.688,0
1.689,0.008,1.689,0.08
1.69,0.008,1.69,0
1.691,0.008,1.691,0
1.692,0.008,1.692,0
1.693,0.008,1.693,0
1.694,0.008,1.694,0.08
